,id,word,frequency,duration,reaction_time,response,subject,accuracy
0,102,labber,none,0.4050793650793651,0.7406072000740096,m,1,1
1,163,plond,none,0.5671655328798186,0.6622090999735519,m,1,1
2,175,nergen,none,0.5445804988662132,1.0631218999624252,m,1,1
3,99,bij,HF,0.3325170068027211,0.7518867000471801,z,1,1
4,94,gedaan,HF,0.6245578231292517,0.7488021000754088,z,1,1
5,79,uur,HF,0.3305215419501133,0.5453892999794334,z,1,1
6,60,vallen,HF,0.3511791383219955,0.5673877000808716,z,1,1
7,15,karpers,LF,0.6831292517006803,0.8568581999279559,z,1,1
8,48,balkons,LF,0.7699773242630386,0.7872244999743998,z,1,1
9,30,oker,LF,0.3913151927437642,0.7492642999859527,z,1,1
10,139,stodeum,none,0.6441043083900226,1.3126216999953613,m,1,1
11,154,gefaapt,none,0.8487528344671201,0.7986783001106232,m,1,1
12,39,sjalot,LF,0.5982312925170068,0.8290789000457153,z,1,1
13,83,vraag,HF,0.615827664399093,0.8382292999885976,z,1,1
14,18,deun,LF,0.4665532879818594,0.6904089000308886,m,1,0
15,199,spodiel,none,0.7211791383219954,0.7916095000691712,m,1,1
16,136,kumus,none,0.5232879818594104,0.7459107000613585,m,1,1
17,127,sluinen,none,0.6306575963718821,0.8977479999884963,m,1,1
18,192,megen,none,0.4841723356009071,0.8431900000432506,m,1,1
19,176,kwarp,none,0.5111791383219955,0.8181420000037178,m,1,1
20,51,plan,HF,0.3517687074829932,0.7150497999973595,m,1,0
21,80,eigen,HF,0.4820181405895692,0.6349067999981344,m,1,0
22,156,loedsels,none,0.7686848072562358,0.9115743000293149,m,1,1
23,37,rogge,LF,0.4180952380952381,0.8127300998894498,z,1,1
24,6,puien,LF,0.3691156462585034,0.8279829000821337,z,1,1
25,142,gardien,none,0.5500680272108843,0.7403159000677988,m,1,1
26,58,heren,HF,0.4917006802721088,1.0140985000180078,z,1,1
27,194,pruit,none,0.6024716553287982,0.7907168000238016,m,1,1
28,35,margriet,LF,0.6709297052154195,0.9392666000640021,z,1,1
29,150,knaarde,none,0.5770975056689343,0.8375130000058562,m,1,1
30,10,sikkels,LF,0.7240136054421769,0.9544823999749495,z,1,1
31,87,ging,HF,0.39673469387755106,0.765062699909322,z,1,1
32,8,ratels,LF,0.8842857142857142,0.9246525999624282,z,1,1
33,165,tombel,none,0.4472108843537415,0.6679981000488624,m,1,1
34,158,rufel,none,0.5402267573696146,0.7288613000418991,m,1,1
35,74,help,HF,0.4439455782312925,0.6767685000086203,z,1,1
36,1,buidels,LF,0.7648752834467121,0.6663822000846267,z,1,1
37,63,begin,HF,0.4794784580498866,0.9946964000118896,z,1,1
38,190,ploe,none,0.23392290249433104,0.4566171000478789,z,1,0
39,72,lekker,HF,0.3890249433106576,0.6179489999776706,z,1,1
40,91,hele,HF,0.4885714285714286,1.034248000010848,z,1,1
41,98,had,HF,0.44421768707483,0.5170436999760568,z,1,1
42,67,plaats,HF,0.6054195011337868,0.5718487000558525,z,1,1
43,155,pals,none,0.4868707482993198,0.7791188000701368,m,1,1
44,64,bezig,HF,0.6209523809523809,0.8725727000273764,z,1,1
45,106,slont,none,0.6466666666666666,0.9233331999275832,m,1,1
46,38,sfinxen,LF,0.6166213151927438,0.8506193000357598,z,1,1
47,184,rieve,none,0.4558049886621315,0.8821177999489009,m,1,1
48,131,rogenten,none,0.6747845804988662,0.8906630000565201,m,1,1
49,146,gewunnen,none,0.5544671201814059,0.8532346000429243,m,1,1
50,40,topaas,LF,0.75421768707483,0.8120021999347955,z,1,1
51,135,vlorken,none,0.5808390022675737,0.789507000008598,m,1,1
52,130,bralat,none,0.6842176870748299,0.7602171000326052,m,1,1
53,140,murselein,none,0.7366666666666667,0.7804176000645384,m,1,1
54,125,kabrieken,none,0.5446485260770975,0.698205899912864,m,1,1
55,124,vebras,none,0.8917233560090703,1.1914523999439552,m,1,1
56,200,fankel,none,0.5785260770975057,0.6379141999641433,m,1,1
57,17,clusters,LF,0.7289569160997732,0.7182155000045896,z,1,1
58,169,plin,none,0.31798185941043083,0.7606820000801235,m,1,1
59,115,liek,none,0.4517687074829932,0.9385484999511392,m,1,1
60,14,juffen,LF,0.4445124716553288,0.6971808000234887,z,1,1
61,7,rafel,LF,0.5744217687074828,1.007694200030528,z,1,1
62,46,lijsters,LF,0.7591836734693878,0.65544190001674,z,1,1
63,43,stengels,LF,0.7586621315192744,0.9645401999587192,z,1,1
64,31,porde,LF,0.3671201814058957,0.9763781999936328,z,1,1
65,44,stram,LF,0.5876190476190476,0.8586087999865413,z,1,1
66,138,glaf,none,0.5436281179138323,0.9085405999794602,z,1,0
67,25,ambten,LF,0.3910430839002267,0.7210039000492543,z,1,1
68,147,kuukt,none,0.4436734693877551,1.2683015998918563,m,1,1
69,12,barse,LF,0.5087755102040816,0.9817322000162676,z,1,1
70,22,spurt,LF,0.6664625850340136,0.8465646000113338,m,1,0
71,129,grantel,none,0.6137414965986394,0.8660229999804869,m,1,1
72,69,sta,HF,0.4588888888888889,0.8600914999842644,z,1,1
73,16,snert,LF,0.6224489795918368,1.0292048000264913,z,1,1
74,145,bezans,none,0.7936507936507936,0.8675802999641746,m,1,1
75,59,redden,HF,0.3632426303854875,0.6978560000425205,z,1,1
76,65,zoek,HF,0.4944671201814059,0.7604650999419391,z,1,1
77,178,gimmel,none,0.4918140589569161,0.7605473999865353,m,1,1
78,9,reigers,LF,0.7401587301587301,0.9172048000618817,z,1,1
79,185,drintels,none,0.7725396825396825,0.6714582999702543,m,1,1
80,109,giep,none,0.4608390022675737,0.7685668000485748,m,1,1
81,73,gemaakt,HF,0.8008390022675737,0.7447211999678984,z,1,1
82,152,grede,none,0.5429478458049887,0.8899337999755517,m,1,1
83,182,hormen,none,0.3752380952380953,0.6797465999843553,m,1,1
84,104,goont,none,0.6195918367346939,0.7948767000343651,m,1,1
85,62,gaf,HF,0.5007256235827664,0.7553500999929383,z,1,1
86,133,gefruld,none,0.88281179138322,0.7954793999670073,m,1,1
87,117,groeken,none,0.4692290249433106,0.7518108000513166,m,1,1
88,137,smaan,none,0.5507256235827664,0.8383961999788879,m,1,1
89,148,kadders,none,0.5390929705215419,0.6692795000271872,m,1,1
90,157,udel,none,0.35630385487528343,0.8206787999952212,m,1,1
91,97,zeg,HF,0.488843537414966,0.8517736999783665,z,1,1
92,70,juist,HF,0.5870521541950113,1.0046744999708608,z,1,1
93,36,metrum,LF,0.5541950113378685,0.6917683999054134,z,1,1
94,132,fradingo,none,0.7437868480725623,0.7299653999507427,m,1,1
95,189,trorg,none,0.5636507936507936,0.7606376999756321,m,1,1
96,96,zit,HF,0.45421768707483,0.7522757999831811,z,1,1
97,105,jugen,none,0.5052607709750567,0.6679018000140786,m,1,1
98,86,idee,HF,0.4575056689342404,0.6870692999800667,z,1,1
99,164,snoen,none,0.490702947845805,0.7389492000220343,m,1,1
100,171,glijp,none,0.5592290249433106,0.8149650000268593,m,1,1
101,61,los,HF,0.5018140589569161,0.7306711000856012,z,1,1
102,116,plenk,none,0.4568707482993197,0.6233000999782234,m,1,1
103,71,ogen,HF,0.4824036281179138,0.9860462999204174,z,1,1
104,134,vrijk,none,0.6648526077097505,0.7778330999426544,m,1,1
105,159,rastel,none,0.6509297052154195,0.8716559000313282,m,1,1
106,118,prookt,none,0.6648299319727892,0.6250624000094831,z,1,0
107,122,bluit,none,0.7464399092970522,0.7843678999925032,m,1,1
108,100,kom,HF,0.2878458049886621,0.8960540000116453,z,1,1
109,103,brum,none,0.34331065759637186,0.6120064000133425,m,1,1
110,121,nammer,none,0.3958503401360544,0.6705879999790341,m,1,1
111,53,boek,HF,0.4394104308390023,0.6246979999123141,z,1,1
112,19,etui,LF,0.4205895691609977,0.6495796999661252,z,1,1
113,197,zerder,none,0.5083673469387755,0.6619587000459433,m,1,1
114,49,bonkte,LF,0.4835600907029479,0.9152622999390588,z,1,1
115,24,wrongel,LF,0.5386848072562358,0.8164484999142587,m,1,0
116,162,gebeikt,none,0.8473469387755102,0.9393530000234024,m,1,1
117,68,soort,HF,0.6407256235827664,0.7659086999483407,z,1,1
118,89,geweest,HF,0.7779138321995465,0.9185036000562832,z,1,1
